shot,ntor,n_modes,n_matched,n_no_frequency_match,n_incomplete_or_conflicting,n_input_errors,n_modes_with_matched_interior_crossings,n_interior_crossings,median_signed_grid,median_abs_grid,fraction_abs_gt_2,fraction_positive,p90_abs_grid,group_error,n_interior_abs_gt_2,n_raw_modes,n_raw_no_frequency_match,n_raw_incomplete_or_conflicting,n_raw_informative_modes,n_raw_interior_crossings,raw_fraction_abs_gt_2,n_empty_log_matches,n_core_crossings_in_empty_log_modes,review_priority,interpretation,notes
nstxuG142301E34,1,2,2,0,0,0,2,4,23.655395194051938,23.655395194051938,1.0,1.0,31.660019237982134,,4,37,0,0,2,4,1.0,0,0,1,SPARSE_MISSING_COUNTERPARTS,"Two informative modes: inner lower crossing pairs lack nearby logged counterparts; near-axis packets lie between the datcon crossings. The 14.6-32.1 interval distances are not identified shifts. Review complete branch correspondence, including outer upper crossings."
nstxuG142301E55,1,5,5,0,0,0,5,6,3.8140203011853724,3.8140203011853724,0.6666666666666666,1.0,7.063563419659641,,4,16,0,5,6,8,0.75,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG142301E77,1,8,8,0,0,0,8,22,0.006694992523781362,2.7438837099391655,0.6363636363636364,0.5,7.519487717891105,,14,61,0,0,33,74,0.8243243243243243,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG142301F62,1,10,10,0,0,0,10,10,4.47880521519367,4.47880521519367,1.0,1.0,8.16796602362177,,10,68,0,11,11,11,1.0,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG142301F66,1,3,3,0,0,0,3,6,17.946627352710706,17.946627352710706,1.0,1.0,33.25132927030618,,6,20,0,2,10,20,1.0,0,0,1,SPARSE_DISCREPANCY,Three modes: upper crossings displaced by 5.81-6.72 intervals; inner lower crossings have no nearby counterpart and must not be treated as identified 29-34 interval shifts.
nstxuG142301F83,1,25,25,0,0,0,25,31,3.97994351332156,4.109952718998278,0.9354838709677419,0.8709677419354839,16.902183133581005,,29,73,0,16,31,44,0.9090909090909091,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG142301K79,1,9,9,0,0,0,9,12,5.181188424141602,5.181188424141602,1.0,1.0,6.606926379919014,,12,31,0,7,10,14,1.0,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG142301L89,1,7,7,0,0,0,7,10,4.646043106040754,5.4950223149329736,1.0,0.7,114.3597976714294,,10,46,0,4,23,42,1.0,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG142301M32,1,6,6,0,0,0,6,12,3.4351033992546465,3.5223102215820035,0.9166666666666666,0.8333333333333334,26.962675029748624,,11,37,0,0,8,16,0.9375,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuG142301S94,1,1,1,0,0,0,1,1,4.119075233486047,4.119075233486047,1.0,1.0,4.119075233486047,,1,1,0,0,1,1,1.0,0,0,1,SPARSE_DISCREPANCY,Only one raw N1 mode (6393); sharp structure near logged r=0.56 versus datcon r=0.5806. N2 has 28/28 interior comparisons within two intervals.
nstxuG142301U85,1,21,21,0,0,0,21,41,1.3246593122065775,3.6142893860712677,0.7317073170731707,0.5853658536585366,20.72545202564875,,30,73,0,2,32,63,0.8095238095238095,0,0,1,REPEATED_DISCREPANCY,Repeated interior log/continuum disagreement across at least five TAE-side modes; signed-profile examples supplied. Branches need separate review; nearest distance is not a branch assignment.
nstxuE202842A01t030,1,7,7,0,0,0,7,8,0.2724653848123926,0.29361189168740087,0.125,0.875,10.05533273798453,,1,18,0,0,8,10,0.1,0,0,2,LOCAL_EXTRA_CROSSING_REVIEW,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.
nstxuE202842A01t035,1,37,37,0,0,0,34,36,0.9350399392042186,0.9350399392042186,0.19444444444444445,1.0,2.1044286030186155,,7,165,0,0,61,63,0.1111111111111111,0,0,2,LOCAL_EXTRA_CROSSING_REVIEW,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.
nstxuE202926A03t037,1,18,18,0,0,0,18,18,1.3512821243191753,1.3512821243191753,0.2222222222222222,1.0,2.5416386303415472,,4,65,0,0,51,51,0.29411764705882354,0,0,2,MODEST_SUBSET_OFFSET,A minority of interior comparisons have roughly 2-3.5 interval main-branch offsets; representative signed profiles supplied. Does not establish a large shot-wide shift.
nstxuE202944A02t028,1,15,15,0,0,0,13,15,0.25676699268847303,1.1996111424032174,0.2,0.8666666666666667,14.49200521587522,,3,42,0,0,14,16,0.1875,0,0,2,LOCAL_EXTRA_CROSSING_REVIEW,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.
nstxuE202947A03t037,1,75,75,0,0,0,72,72,1.1221501929864348,1.1221501929864348,0.08333333333333333,1.0,1.7815213314471101,,6,221,0,0,95,95,0.15789473684210525,0,0,2,MODEST_SUBSET_OFFSET,A minority of interior comparisons have roughly 2-3.5 interval main-branch offsets; representative signed profiles supplied. Does not establish a large shot-wide shift.
nstxuE203609A01t037,1,18,18,0,0,0,15,17,0.38079610031761246,0.42768250102486194,0.11764705882352941,0.8823529411764706,23.568592015499963,,2,79,0,0,17,19,0.10526315789473684,0,0,2,LOCAL_EXTRA_CROSSING_REVIEW,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.
nstxuE203655F01t017,1,8,1,0,7,0,1,3,0.2922047010094797,0.2922047010094797,0.0,1.0,0.7194591436074038,,0,11,0,7,1,3,0.0,0,0,2,LIMITED_LOG_COVERAGE,Seven of eight TAE-side N1 modes have incomplete singularity blocks. One matched mode cannot clear the shot. Plotted incomplete-log modes have predominantly edge structure and provide no reliable core alignment test.
nstxuE203963A01t017,1,10,1,0,0,0,1,2,9.7247818866654,9.7247818866654,0.5,1.0,16.926016547338833,,1,20,0,0,9,14,0.07142857142857142,9,0,2,LOCAL_EXTRA_CROSSING_REVIEW,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.
nstxuE203963A01t030,1,32,32,0,0,0,29,31,1.1375130323670435,1.1375130323670435,0.12903225806451613,0.9354838709677419,2.123527129938396,,4,65,0,0,45,47,0.0851063829787234,0,0,2,LOCAL_EXTRA_CROSSING_REVIEW,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.
nstxuE203981A01t019,1,6,6,0,0,0,3,5,0.762913379900787,0.762913379900787,0.4,1.0,121.92927205309988,,2,11,0,0,3,5,0.4,0,0,2,LOCAL_EXTRA_CROSSING_REVIEW,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.
nstxuE203981A01t022,1,18,18,0,0,0,15,16,1.0333607537943656,1.0333607537943656,0.1875,1.0,2.1198697892920393,,3,31,0,0,24,25,0.12,0,0,2,LOCAL_EXTRA_CROSSING_REVIEW,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.
nstxuE204186A01t025,1,18,13,0,0,0,13,14,0.6532443634526625,0.6532443634526625,0.0,0.9285714285714286,1.107069228862052,,0,56,0,0,32,33,0.0,5,0,2,NEAR_AXIS_LOG_CORRESPONDENCE,N1/8681 has two upper crossings below r=0.03 with no logged singularities. Outside the primary screen; other usable interior comparisons align.
nstxuE204707A04t015,1,8,5,0,0,0,5,7,0.2677372118265575,0.2677372118265575,0.2857142857142857,1.0,12.089016367117651,,2,15,0,0,6,8,0.25,3,0,2,LOCAL_EXTRA_CROSSING_REVIEW,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.
nstxuE204707A04t025,1,31,31,0,0,0,30,30,1.0982281916542576,1.0982281916542576,0.13333333333333333,0.9666666666666667,2.1685683089671337,,4,72,0,0,32,32,0.125,0,0,2,MODEST_SUBSET_OFFSET,A minority of interior comparisons have roughly 2-3.5 interval main-branch offsets; representative signed profiles supplied. Does not establish a large shot-wide shift.
nstxuE204707X02t017,1,16,13,0,0,0,12,16,0.660078019467103,0.8193882615759929,0.125,0.875,5.54925295120311,,2,44,0,0,31,35,0.05714285714285714,3,0,2,LOCAL_EXTRA_CROSSING_REVIEW,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.
nstxuE204707X02t027,1,24,24,0,0,0,23,23,0.6788972145413297,0.6788972145413297,0.043478260869565216,0.9565217391304348,0.8048773863078207,,1,66,0,0,24,24,0.041666666666666664,0,0,2,ISOLATED_OFFSET,N1/3240 has one 6.21-interval offset with sharp structure near the log radius; the other 22 informative interior comparisons are within two. Review this mode; no majority pattern.
nstxuE204944A01t035,1,3,3,0,0,0,0,0,,,,,,,0,10,0,0,1,1,0.0,0,0,2,NO_CORE_COMPARISON_EDGE_REVIEW,No usable interior comparisons. N1/1958 has an upper crossing at r=0.9896 absent from the log; its 193.9-interval nearest distance is not an identified shift. Neighbor 2282 has a matching outer crossing.
nstxuE204957F05t017,1,9,1,0,0,0,1,1,0.9778650944483269,0.9778650944483269,0.0,1.0,0.9778650944483269,,0,21,0,0,3,3,0.0,8,2,2,CROSSINGS_WITH_EMPTY_LOG,N1/1306 has an extra upper-continuum dip crossing pair although its complete matched log declares no singularities. Other usable interior comparisons align; no evidence of a majority shift.
nstxuE205016A01t020,1,3,3,0,0,0,1,1,2.5670952073545417,2.5670952073545417,1.0,1.0,2.5670952073545417,,1,8,0,0,4,4,0.25,0,0,2,ISOLATED_MODEST_OFFSET,"Only one informative N1 mode, 1329: 2.57 intervals, with nearby sharp structure. Insufficient evidence for a shot-wide mismatch."
nstxuE205054A01t017,1,28,25,0,0,0,24,26,1.2024682408749598,1.2024682408749598,0.07692307692307693,1.0,1.3163490206740291,,2,67,0,0,34,38,0.05263157894736842,3,0,2,LOCAL_EXTRA_CROSSING_REVIEW,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.
nstxuE205055A01t017,1,9,9,0,0,0,4,10,0.45078771774573756,0.6707589366306277,0.2,0.8,76.1295903693578,,2,28,0,0,6,18,0.1111111111111111,0,0,2,LOCAL_EXTRA_CROSSING_REVIEW,Large nearest distances occur at extra crossings around a shallow upper-continuum dip; sampled mode structure is present near the dip. Main crossings usually align. Missing log counterparts do not establish a systematic N1 shift. Some modes also have modest main-branch offsets.
nstxuG133964R48,1,2,2,0,0,0,2,6,-1.3673560265129803,1.4572573414881433,0.3333333333333333,0.16666666666666666,6.705140446612637,,2,79,0,0,14,32,0.84375,0,0,2,BRANCH_AND_EAE_SIDE_REVIEW,"TAE-side: only 2/6 crossings beyond two intervals, both in 1585 near a continuum extremum. Including EAE-side raw modes gives 27/32 beyond two (14 informative modes). Additional EAE-side plots supplied; do not dismiss using TAE-side routing alone."
nstxuG133964U27,1,4,4,0,0,0,2,4,1.113351429536045,1.1436876153083018,0.25,0.75,3.4470578134436014,,1,21,0,0,3,6,0.5,0,0,2,BRANCH_AND_EAE_SIDE_REVIEW,"TAE-side: 1/4 crossings beyond two intervals, in 1693. Including an EAE-side mode gives 3/6. The EAE-side 2448 profile has structure near a logged radius missing from the datcon crossing set; branch correspondence needs review."
nstxuG142301M21,1,1,0,1,0,0,0,0,,,,,,,0,99,97,0,0,0,,0,0,2,MISSING_MATCHING_LOGS,"97/99 raw N1 modes, including the only TAE-side N1 mode, lack exact-frequency records. All 242 N2 mode matches have incomplete log blocks. Need matching complete run logs; no reliable N1/N2 comparison."
nstxuE202926A03t030,1,0,0,0,0,0,0,0,,,,,,,0,69,0,0,32,32,0.03125,0,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE203609A01t017,1,4,0,0,0,0,0,0,,,,,,,0,6,0,0,0,0,,4,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE203609A01t030,1,2,2,0,0,0,0,0,,,,,,,0,31,0,0,0,0,,0,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE203653A02t017,1,4,4,0,0,0,0,0,,,,,,,0,5,0,0,0,0,,0,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE203656A02t017,1,0,0,0,0,0,0,0,,,,,,,0,4,0,0,0,0,,0,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE203981A01t017,1,1,1,0,0,0,0,0,,,,,,,0,10,0,0,1,5,0.4,0,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE204118F01t017,1,6,0,0,0,0,0,0,,,,,,,0,26,0,0,17,17,0.0,6,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE204118F01t035,1,0,0,0,0,0,0,0,,,,,,,0,52,0,0,22,24,0.041666666666666664,0,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE204118F01t040,1,0,0,0,0,0,0,0,,,,,,,0,12,0,0,0,0,,0,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE204636A01t025,1,2,2,0,0,0,0,0,,,,,,,0,3,0,0,1,1,0.0,0,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE204645A16t020,1,3,0,0,0,0,0,0,,,,,,,0,4,0,0,1,1,0.0,3,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE204669M03t015,1,4,4,0,0,0,0,0,,,,,,,0,17,0,0,3,10,0.0,0,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE204669M03t020,1,0,0,0,0,0,0,0,,,,,,,0,2,0,0,0,0,,0,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE204669M03t030,1,0,0,0,0,0,0,0,,,,,,,0,61,0,0,20,21,0.0,0,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE204955F02t020,1,0,0,0,0,0,0,0,,,,,,,0,10,0,0,0,0,,0,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE204957F05t020,1,0,0,0,0,0,0,0,,,,,,,0,1,0,0,1,1,0.0,0,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE204957F05t027,1,2,2,0,0,0,0,0,,,,,,,0,13,0,0,6,6,0.0,0,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE205042A01t025,1,4,4,0,0,0,0,0,,,,,,,0,12,0,0,2,2,0.0,0,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE205054A01t027,1,4,4,0,0,0,0,0,,,,,,,0,6,0,0,0,0,,0,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE205059A01t017,1,4,0,0,0,0,0,0,,,,,,,0,41,0,0,34,34,0.0,4,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuE205072A02t017,1,7,0,0,0,0,0,0,,,,,,,0,15,0,0,2,2,0.0,7,0,3,NO_USABLE_CORE_COMPARISON,No usable TAE-side comparison in 0.03<=r<0.75; not an alignment pass.
nstxuG142301Q91,1,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,0,0,3,NO_N1_INPUTS,No raw N1 mode files; no alignment conclusion.
nstxuG142301S39,1,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,0,0,3,NO_N1_INPUTS,No raw N1 mode files; no alignment conclusion.
nstxu_202806,1,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,0,0,3,NO_N1_INPUTS,No raw N1 mode files; no alignment conclusion.
nstxuE202855A01t025,1,16,14,0,0,0,14,14,0.8306919206085811,0.8306919206085811,0.0,1.0,1.4297625135213212,,0,26,0,0,20,20,0.0,2,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
nstxuE202855A01t030,1,20,20,0,0,0,19,19,0.4409052945100189,0.4409052945100189,0.0,1.0,0.8602290436655669,,0,44,0,0,24,24,0.0,0,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
nstxuE202926A03t025,1,2,2,0,0,0,1,1,0.7408354286584595,0.7408354286584595,0.0,1.0,0.7408354286584595,,0,9,0,0,1,1,0.0,0,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
nstxuE202944A02t020,1,13,13,0,0,0,11,11,0.7145884460401764,0.7145884460401764,0.0,1.0,0.8862939980290141,,0,49,0,0,33,34,0.0,0,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
nstxuE202944A02t021,1,6,6,0,0,0,3,3,0.7535125983269775,0.7535125983269775,0.0,0.6666666666666666,0.7602165094314572,,0,9,0,0,5,5,0.0,0,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
nstxuE202944A02t023,1,23,23,0,0,0,22,22,0.8504358316999083,0.8504358316999083,0.0,1.0,1.0873065922229208,,0,58,0,2,24,26,0.0,0,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
nstxuE202947A03t015,1,6,2,0,0,0,2,4,0.37680616019566404,0.37680616019566404,0.0,1.0,0.7208297329093828,,0,8,0,0,3,5,0.0,4,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
nstxuE202947A03t020,1,4,4,0,0,0,4,4,0.76991294329255,0.76991294329255,0.0,1.0,1.3318573752737928,,0,11,0,0,5,5,0.0,0,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
nstxuE202947A03t025,1,3,3,0,0,0,2,2,0.7090520795348221,0.7090520795348221,0.0,1.0,0.8358898955479299,,0,8,0,0,4,6,0.0,0,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
nstxuE203262A04t022,1,8,8,0,0,0,4,4,0.6290268454082759,0.6290268454082759,0.0,1.0,1.0224728232028446,,0,10,0,0,6,6,0.0,0,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
nstxuE203262A04t025,1,11,11,0,0,0,2,2,0.11175092784630469,0.11175092784630469,0.0,1.0,0.11369968327860414,,0,19,0,0,5,6,0.0,0,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
nstxuE203653A02t020,1,2,2,0,0,0,2,2,0.6960668267647963,0.6960668267647963,0.0,1.0,0.9643479661496679,,0,3,0,0,3,3,0.0,0,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
nstxuE203653A02t025,1,4,4,0,0,0,3,3,0.39342334663034495,0.39342334663034495,0.0,1.0,0.6562371778999887,,0,7,0,0,6,6,0.0,0,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
nstxuE203653A02t030,1,14,9,0,0,0,9,9,0.977492070537922,0.977492070537922,0.0,1.0,1.1444113477744366,,0,36,0,0,29,29,0.0,5,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
nstxuE203655F01t020,1,6,6,0,0,0,4,4,0.520244226179617,0.520244226179617,0.0,1.0,0.534300844410116,,0,8,0,0,5,5,0.0,0,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
nstxuE203655F01t025,1,22,22,0,0,0,15,15,0.571815624788119,0.571815624788119,0.0,1.0,1.047166258061023,,0,27,0,0,17,17,0.0,0,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
nstxuE203655F01t030,1,4,4,0,0,0,4,4,-0.33536707562523693,0.35020448560587614,0.0,0.25,0.7856253283189397,,0,22,0,0,4,4,0.0,0,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
nstxuE203656A02t020,1,3,3,0,0,0,2,2,0.5734695643104443,0.5734695643104443,0.0,1.0,0.6032545465584044,,0,5,0,0,3,4,0.0,0,0,4,WITHIN_REVIEW_TOLERANCE,"All usable TAE-side interior comparisons within two intervals. This screen does not certify other branches, absent comparisons, or eigenmode quality."
