change,review_status,mode_key,in_elena_questions,before_gap_region,before_rules_reason,before_rules_decision,before_input_fingerprint,before_rf_cnn_decision,after_gap_region,after_rules_reason,after_rules_decision,after_input_fingerprint,after_rf_cnn_decision
added,new_review,nstxuE204645A16t015/N10/egn10w.6587E+01,False,tae_like,BAD_GRID_SCALE_SPIKE,BAD,cf00c22ed14e0aabeee84035675029350d63c6906161e65b9524e554145fe99f,BAD,tae_like,BAD_GRID_SCALE_SPIKE,BAD,cf00c22ed14e0aabeee84035675029350d63c6906161e65b9524e554145fe99f,GOOD
added,already_approved,nstxuE204645A16t015/N10/egn10w.8871E+01,False,tae_like,BAD_CONT_CROSS_WINDOW,BAD,80842102c9f6dcc19fc1d2451dd6cc3a218dc739761e29b83260f47b076daed8,BAD,tae_like,NO_GOOD_TEMPLATE,GOOD,80842102c9f6dcc19fc1d2451dd6cc3a218dc739761e29b83260f47b076daed8,BAD
added,already_approved,nstxuE204645A16t015/N10/egn10w.9701E+01,False,tae_like,BAD_CONT_CROSS_WINDOW,BAD,73c7681e9a238ff8b90f2c7021ebf84e099b87b9597fcbb8def5b299782262ae,BAD,tae_like,NO_GOOD_TEMPLATE,GOOD,73c7681e9a238ff8b90f2c7021ebf84e099b87b9597fcbb8def5b299782262ae,BAD
added,new_review,nstxuE204645A16t015/N8/egn08w.3611E+01,False,tae_like,BAD_GRID_SCALE_SPIKE,BAD,9a764cf5f4ec3cab01420714a8644c44685c739be062185fe4cbec59047b0b8a,BAD,tae_like,BAD_GRID_SCALE_SPIKE,BAD,9a764cf5f4ec3cab01420714a8644c44685c739be062185fe4cbec59047b0b8a,GOOD
added,new_review,nstxuE204645A16t015/N9/egn09w.5126E+01,False,tae_like,BAD_AXIS_SPIKE,BAD,135efb99c0a800abfa433a68572ee7cff836cc773b2fecaa152608994c5720c8,BAD,tae_like,BAD_AXIS_SPIKE,BAD,135efb99c0a800abfa433a68572ee7cff836cc773b2fecaa152608994c5720c8,GOOD
added,new_review,nstxuE204645A16t015/N9/egn09w.5606E+01,False,tae_like,BAD_AXIS_SPIKE,BAD,6b606e1134a5ed365537afc791ede563ebbee2e88acf118da272e6ab9cec753f,BAD,tae_like,BAD_AXIS_SPIKE,BAD,6b606e1134a5ed365537afc791ede563ebbee2e88acf118da272e6ab9cec753f,GOOD
added,new_review,nstxuE205040A01t016/N3/egn03w.1594E+01,False,tae_like,BAD_GRID_SCALE_SPIKE,BAD,90b8e05c804e1516b375263f19da25740bc0e3696129e0a6c89f465f483152ad,BAD,tae_like,BAD_GRID_SCALE_SPIKE,BAD,90b8e05c804e1516b375263f19da25740bc0e3696129e0a6c89f465f483152ad,GOOD
removed,no_longer_disagrees,nstxuE203262A04t018/N10/egn10w.3271E+01,False,tae_like,NO_GOOD_TEMPLATE,GOOD,a7d80aea2bce344edfe8bb33e40f3567ec90d7e6bf56bad422177648b96b126d,BAD,tae_like,NO_GOOD_TEMPLATE,GOOD,a7d80aea2bce344edfe8bb33e40f3567ec90d7e6bf56bad422177648b96b126d,GOOD
removed,no_longer_disagrees,nstxuE203262A04t018/N9/egn09w.4452E+01,False,tae_like,NO_GOOD_TEMPLATE,GOOD,c04936185f42f2b26767894c62747ff9b1f3627f6cbd3ada93bb580aa25cbec6,BAD,tae_like,NO_GOOD_TEMPLATE,GOOD,c04936185f42f2b26767894c62747ff9b1f3627f6cbd3ada93bb580aa25cbec6,GOOD
removed,no_longer_disagrees,nstxuE203262A04t018/N9/egn09w.4572E+01,False,tae_like,NO_GOOD_TEMPLATE,GOOD,86606066043e35fefed5c6581857a313fc9ec607f488e00b7a2dc757aa1a665b,BAD,tae_like,NO_GOOD_TEMPLATE,GOOD,86606066043e35fefed5c6581857a313fc9ec607f488e00b7a2dc757aa1a665b,GOOD
removed,no_longer_disagrees,nstxuE204645A16t015/N10/egn10w.3001E+01,False,tae_like,NO_GOOD_TEMPLATE,GOOD,0a124cd23524ed8100acfcc1ef7ff23b64bfdaabb2c5ac29c49d2a2a4859a167,BAD,tae_like,NO_GOOD_TEMPLATE,GOOD,0a124cd23524ed8100acfcc1ef7ff23b64bfdaabb2c5ac29c49d2a2a4859a167,GOOD
removed,no_longer_disagrees,nstxuE204645A16t015/N7/egn07w.2794E+01,False,tae_like,NO_GOOD_TEMPLATE,GOOD,8698c9c67b342eeaab2b131646c9fb349f905cc453430d48ae9fc3f3b920bad9,BAD,tae_like,NO_GOOD_TEMPLATE,GOOD,8698c9c67b342eeaab2b131646c9fb349f905cc453430d48ae9fc3f3b920bad9,GOOD
removed,no_longer_disagrees,nstxuE204645A16t015/N7/egn07w.5921E+01,False,tae_like,NO_GOOD_TEMPLATE,GOOD,d097391f0e8a737a07d7034c30227bd00b6a7636f04f1001f38e83f398ec03d3,BAD,tae_like,NO_GOOD_TEMPLATE,GOOD,d097391f0e8a737a07d7034c30227bd00b6a7636f04f1001f38e83f398ec03d3,GOOD
removed,no_longer_disagrees,nstxuE204645A16t015/N7/egn07w.6025E+01,True,tae_like,BAD_CONT_CROSS_WINDOW,BAD,01705e1b0b55f053285c03d1c62889be3c241f1e19ee0da577828a5fa7b94de3,GOOD,tae_like,NO_GOOD_TEMPLATE,GOOD,01705e1b0b55f053285c03d1c62889be3c241f1e19ee0da577828a5fa7b94de3,GOOD
removed,no_longer_disagrees,nstxuE204645A16t015/N8/egn08w.5775E+01,True,tae_like,BAD_CONT_CROSS_WINDOW,BAD,6fb1c8323fa7c9eda432f3cb6e7d5136d23add3685f58d4430981c93f34f6783,GOOD,tae_like,NO_GOOD_TEMPLATE,GOOD,6fb1c8323fa7c9eda432f3cb6e7d5136d23add3685f58d4430981c93f34f6783,GOOD
removed,no_longer_disagrees,nstxuE205040A01t016/N10/egn10w.3900E+01,False,mixed,NO_GOOD_TEMPLATE,GOOD,c4ac83bddff9bcc82fa455c74b1bc61aa6c250c8b6ba9e48df2f1054ec5e88dc,BAD,eae_like,frequency_routing,ROUTED_EAE,c4ac83bddff9bcc82fa455c74b1bc61aa6c250c8b6ba9e48df2f1054ec5e88dc,ROUTED_EAE
removed,no_longer_disagrees,nstxuE205040A01t016/N2/egn02w.1635E+01,False,tae_like,NO_GOOD_TEMPLATE,GOOD,c95fede4d888c83d3bbd25a454a6b81f39a388f63feb063012c0323ac14a9773,BAD,tae_like,NO_GOOD_TEMPLATE,GOOD,c95fede4d888c83d3bbd25a454a6b81f39a388f63feb063012c0323ac14a9773,GOOD
removed,no_longer_disagrees,nstxuE205040A01t016/N3/egn03w.1082E+02,False,mixed,NO_GOOD_TEMPLATE,GOOD,698eda9a279032d6d25b1c16365ae8a34168b8ad3c16d98611bd84690ea87e3e,BAD,eae_like,frequency_routing,ROUTED_EAE,698eda9a279032d6d25b1c16365ae8a34168b8ad3c16d98611bd84690ea87e3e,ROUTED_EAE
removed,no_longer_disagrees,nstxuE205040A01t016/N4/egn04w.3743E+01,False,tae_like,BAD_CONT_CROSS_WINDOW,BAD,19f2c105a40cffe540480342287331d6cda6cb48d883bb2956670ef981319e44,GOOD,tae_like,NO_GOOD_TEMPLATE,GOOD,19f2c105a40cffe540480342287331d6cda6cb48d883bb2956670ef981319e44,GOOD
removed,no_longer_disagrees,nstxuE205040A01t016/N5/egn05w.4796E+01,False,tae_like,BAD_CONT_CROSS_WINDOW,BAD,9eead3c16e47440820fe5b4605c2ed902e0a57a666b72a2450a862066a75a8fe,GOOD,tae_like,NO_GOOD_TEMPLATE,GOOD,9eead3c16e47440820fe5b4605c2ed902e0a57a666b72a2450a862066a75a8fe,GOOD
